epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.39,1.00166,1.16054,1.34779,0.64498,0.63558,0.61623,0.3393,1.5345,2.06126,2.09068,0.000332332,0.000332332,0.0670991
2,420.082,0.97125,0.90699,1.30532,0.83905,0.82526,0.88555,0.58045,1.06986,0.90995,1.5402,0.000652485,0.000652485,0.0340859
3,628.435,0.91299,0.81449,1.25874,0.84629,0.85579,0.90501,0.5945,1.09632,0.80439,1.58299,0.000959439,0.000959439,0.00105954
4,837.019,0.88552,0.77914,1.24074,0.88413,0.8827,0.93226,0.63391,1.01069,0.66925,1.52678,0.0009406,0.0009406,0.0009406
5,1046.86,0.8168,0.68376,1.19322,0.9016,0.90804,0.96106,0.681,0.97877,0.62158,1.43523,0.0009208,0.0009208,0.0009208
6,1254.52,0.78146,0.63762,1.16945,0.9025,0.91387,0.94897,0.70153,0.85857,0.57107,1.3532,0.000901,0.000901,0.000901
7,1463.39,0.74807,0.59137,1.14714,0.90109,0.93009,0.94023,0.68754,0.86723,0.56361,1.39174,0.0008812,0.0008812,0.0008812
8,1675.64,0.71766,0.56407,1.12828,0.89196,0.94839,0.95925,0.68926,0.90245,0.52981,1.43587,0.0008614,0.0008614,0.0008614
9,1885.2,0.6994,0.54122,1.11592,0.94503,0.88979,0.95895,0.70154,0.83735,0.55588,1.33957,0.0008416,0.0008416,0.0008416
10,2097.7,0.68103,0.51945,1.10265,0.94338,0.91187,0.96646,0.71547,0.84294,0.49488,1.39432,0.0008218,0.0008218,0.0008218
11,2308.29,0.65342,0.49737,1.08997,0.95965,0.89222,0.9633,0.69757,0.87702,0.46832,1.45998,0.000802,0.000802,0.000802
12,2515.57,0.64352,0.48321,1.08332,0.9244,0.92928,0.9595,0.72143,0.80019,0.46703,1.36267,0.0007822,0.0007822,0.0007822
13,2726.62,0.61781,0.46564,1.06945,0.93298,0.95223,0.97311,0.77679,0.67233,0.43608,1.17907,0.0007624,0.0007624,0.0007624
14,2939.21,0.60436,0.45258,1.05997,0.96227,0.90961,0.96463,0.75425,0.71131,0.42899,1.24518,0.0007426,0.0007426,0.0007426
15,3146.32,0.59051,0.44106,1.05335,0.94297,0.93377,0.96901,0.77046,0.68449,0.41201,1.24088,0.0007228,0.0007228,0.0007228
16,3362.31,0.58163,0.43282,1.04715,0.94411,0.94758,0.96727,0.77197,0.68269,0.41761,1.23197,0.000703,0.000703,0.000703
17,3577.07,0.57879,0.42256,1.04413,0.95626,0.89487,0.9673,0.7376,0.75893,0.44955,1.38944,0.0006832,0.0006832,0.0006832
18,3783.95,0.55978,0.41151,1.03651,0.9677,0.92772,0.98226,0.79009,0.65286,0.4096,1.1822,0.0006634,0.0006634,0.0006634
19,3998.82,0.54313,0.39878,1.02363,0.94512,0.95229,0.97329,0.79801,0.61986,0.37867,1.19586,0.0006436,0.0006436,0.0006436
20,4211.12,0.53376,0.38617,1.02236,0.93975,0.94847,0.96837,0.77878,0.64943,0.38808,1.2268,0.0006238,0.0006238,0.0006238
21,4421.02,0.52683,0.38685,1.01722,0.95686,0.90978,0.96821,0.77524,0.65329,0.41385,1.246,0.000604,0.000604,0.000604
22,4627.72,0.5144,0.37515,1.01258,0.94783,0.93672,0.96351,0.78779,0.60918,0.37329,1.20248,0.0005842,0.0005842,0.0005842
